,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-08,ECMWF-SEAS5.1,ECMWF,SEAS5.1,-0.8141,0.0139,0.1409
1,2024-08,Météo France-System 8,Météo France,System 8,-0.7697,0.0832,0.3191
2,2024-08,Met Office-GloSea6.3,Met Office,GloSea6.3,-0.8193,-0.0076,0.12
3,2024-08,DWD-GCFS2.1,DWD,GCFS2.1,-0.8572,-0.0852,-0.0904
4,2024-08,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.7466,-0.0068,0.1687
5,2024-08,NCEP-CFSv2,NCEP,CFSv2,-0.8828,0.1074,0.5035
6,2024-08,JMA-CPS3,JMA,CPS3,-0.7639,-0.0294,0.06
7,2024-08,ECCC-GEM5.2-NEMO,ECCC,GEM5.2-NEMO,-0.0359,-0.1236,-0.0243
