,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-08,ECMWF-SEAS5.1,ECMWF,SEAS5.1,0.0076,-0.038,-0.04
1,2024-08,Météo France-System 8,Météo France,System 8,0.5242,-0.0131,0.0878
2,2024-08,Met Office-GloSea6.3,Met Office,GloSea6.3,0.4961,-0.1032,-0.0374
3,2024-08,DWD-GCFS2.1,DWD,GCFS2.1,0.5908,-0.0117,0.0391
4,2024-08,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.4826,0.0239,0.0513
5,2024-08,NCEP-CFSv2,NCEP,CFSv2,0.495,-0.0573,0.0304
6,2024-08,JMA-CPS3,JMA,CPS3,-0.4612,-0.0294,0.1913
7,2024-08,ECCC-GEM5.2-NEMO,ECCC,GEM5.2-NEMO,0.582,-0.0458,-0.073
