,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-08,ECMWF-SEAS5.1,ECMWF,SEAS5.1,0.5742,0.0124,0.047
1,2024-08,Météo France-System 8,Météo France,System 8,0.0176,0.0352,0.0104
2,2024-08,Met Office-GloSea6.3,Met Office,GloSea6.3,0.0014,-0.0712,-0.1852
3,2024-08,DWD-GCFS2.1,DWD,GCFS2.1,0.0057,0.0008,0.02
4,2024-08,CMCC-SPSv3.5,CMCC,SPSv3.5,0.5391,0.0261,-0.1887
5,2024-08,NCEP-CFSv2,NCEP,CFSv2,-0.0187,0.0358,0.2009
6,2024-08,JMA-CPS3,JMA,CPS3,0.0123,-0.0875,-0.24
7,2024-08,ECCC-GEM5.2-NEMO,ECCC,GEM5.2-NEMO,-0.6216,-0.02,0.1678
