,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-08,ECMWF-SEAS5.1,ECMWF,SEAS5.1,-0.7949,-0.0818,-0.2035
1,2024-08,Météo France-System 8,Météo France,System 8,-0.6997,0.0721,0.2504
2,2024-08,Met Office-GloSea6.3,Met Office,GloSea6.3,-0.7423,0.0661,0.0765
3,2024-08,DWD-GCFS2.1,DWD,GCFS2.1,-0.8457,-0.1785,-0.3991
4,2024-08,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.7791,-0.0411,-0.2409
5,2024-08,NCEP-CFSv2,NCEP,CFSv2,-0.7365,0.0391,0.0948
6,2024-08,JMA-CPS3,JMA,CPS3,-0.7628,-0.0763,-0.0122
7,2024-08,ECCC-GEM5.2-NEMO,ECCC,GEM5.2-NEMO,-0.805,-0.0383,0.1087
