,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2023-11,ECMWF-SEAS5.1,ECMWF,SEAS5.1,-1.0929,-0.02,-0.0417
1,2023-11,Météo France-System 8,Météo France,System 8,-1.0316,0.1666,0.4183
2,2023-11,Met Office-GloSea6.2,Met Office,GloSea6.2,-0.0266,0.1512,0.3783
3,2023-11,DWD-GCFS2.1,DWD,GCFS2.1,-1.1287,0.1515,0.5904
4,2023-11,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.8962,0.0214,0.2461
5,2023-11,NCEP-CFSv2,NCEP,CFSv2,-1.0086,0.0614,0.3313
6,2023-11,JMA-CPS3,JMA,CPS3,-0.9199,0.1037,0.3696
7,2023-11,ECCC-GEM5-NEMO,ECCC,GEM5-NEMO,0.0508,-0.0781,0.2974
