,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-09,ECMWF-SEAS5.1,ECMWF,SEAS5.1,0.994,0.0304,0.2878
1,2024-09,Météo France-System 8,Météo France,System 8,0.002,-0.0587,0.1374
2,2024-09,Met Office-GloSea6.3,Met Office,GloSea6.3,0.8948,0.025,0.2391
3,2024-09,DWD-GCFS2.1,DWD,GCFS2.1,-0.027,0.0056,0.2348
4,2024-09,CMCC-SPSv3.5,CMCC,SPSv3.5,0.0481,-0.0205,0.0748
5,2024-09,NCEP-CFSv2,NCEP,CFSv2,0.8215,0.1048,0.5852
6,2024-09,JMA-CPS3,JMA,CPS3,-0.003,-0.0781,-0.1904
7,2024-09,ECCC-GEM5.2-NEMO,ECCC,GEM5.2-NEMO,1.0583,-0.1072,0.1435
