,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-09,ECMWF-SEAS5.1,ECMWF,SEAS5.1,-1.0862,-0.0233,0.047
1,2024-09,Météo France-System 8,Météo France,System 8,-0.0402,-0.1412,-0.1157
2,2024-09,Met Office-GloSea6.3,Met Office,GloSea6.3,-1.0256,0.0087,0.3278
3,2024-09,DWD-GCFS2.1,DWD,GCFS2.1,-1.0009,0.0479,0.387
4,2024-09,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.9569,0.0645,0.2157
5,2024-09,NCEP-CFSv2,NCEP,CFSv2,-0.9356,0.0218,-0.0765
6,2024-09,JMA-CPS3,JMA,CPS3,-0.9673,0.13,0.3043
7,2024-09,ECCC-GEM5.2-NEMO,ECCC,GEM5.2-NEMO,-1.0068,0.0625,0.3704
