,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-09,ECMWF-SEAS5.1,ECMWF,SEAS5.1,0.0054,0.0565,0.4122
1,2024-09,Météo France-System 8,Météo France,System 8,0.9373,-0.0383,0.1965
2,2024-09,Met Office-GloSea6.3,Met Office,GloSea6.3,0.8946,-0.0932,-0.1835
3,2024-09,DWD-GCFS2.1,DWD,GCFS2.1,-0.9859,-0.1254,-0.0843
4,2024-09,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.9634,0.0408,0.1017
5,2024-09,NCEP-CFSv2,NCEP,CFSv2,0.015,-0.0205,0.1304
6,2024-09,JMA-CPS3,JMA,CPS3,-0.0276,-0.0238,0.3313
7,2024-09,ECCC-GEM5.2-NEMO,ECCC,GEM5.2-NEMO,0.9623,-0.042,0.0809
