,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-09,ECMWF-SEAS5.1,ECMWF,SEAS5.1,0.0139,0.1102,0.2435
1,2024-09,Météo France-System 8,Météo France,System 8,0.9651,0.0619,0.3687
2,2024-09,Met Office-GloSea6.3,Met Office,GloSea6.3,-0.9656,0.0967,0.2304
3,2024-09,DWD-GCFS2.1,DWD,GCFS2.1,1.0679,0.1206,0.4217
4,2024-09,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.934,0.03,0.3487
5,2024-09,NCEP-CFSv2,NCEP,CFSv2,1.0511,0.0068,0.1765
6,2024-09,JMA-CPS3,JMA,CPS3,-0.9147,0.2444,0.5626
7,2024-09,ECCC-GEM5.2-NEMO,ECCC,GEM5.2-NEMO,1.0102,0.1619,0.5487
