,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-03,ECMWF-SEAS5.1,ECMWF,SEAS5.1,0.4752,-0.0812,-0.14
1,2024-03,Météo France-System 8,Météo France,System 8,0.4384,0.0166,0.0626
2,2024-03,DWD-GCFS2.1,DWD,GCFS2.1,-0.0192,-0.1167,-0.0409
3,2024-03,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.0091,0.0437,0.0722
4,2024-03,NCEP-CFSv2,NCEP,CFSv2,0.5012,-0.0359,0.0461
5,2024-03,JMA-CPS3,JMA,CPS3,0.4748,-0.0369,0.333
6,2024-03,ECCC-GEM5-NEMO,ECCC,GEM5-NEMO,0.5303,-0.0331,0.0513
7,2024-03,Met Office-GloSea6.3,Met Office,GloSea6.3,0.4844,-0.0678,0.0096
