,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-03,ECMWF-SEAS5.1,ECMWF,SEAS5.1,-0.0142,-0.0311,-0.1017
1,2024-03,Météo France-System 8,Météo France,System 8,-0.4018,-0.0362,0.0504
2,2024-03,DWD-GCFS2.1,DWD,GCFS2.1,-0.4843,0.0054,0.1017
3,2024-03,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.4572,0.0712,0.2209
4,2024-03,NCEP-CFSv2,NCEP,CFSv2,-0.4631,-0.1184,-0.0261
5,2024-03,JMA-CPS3,JMA,CPS3,0.439,0.1281,0.22
6,2024-03,ECCC-GEM5-NEMO,ECCC,GEM5-NEMO,-0.5485,-0.2019,-0.1504
7,2024-03,Met Office-GloSea6.3,Met Office,GloSea6.3,-0.481,-0.0167,0.2565
