,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-03,ECMWF-SEAS5.1,ECMWF,SEAS5.1,-0.6486,-0.0608,-0.0661
1,2024-03,Météo France-System 8,Météo France,System 8,-0.6232,-0.0179,0.0017
2,2024-03,DWD-GCFS2.1,DWD,GCFS2.1,0.0078,0.0185,0.1452
3,2024-03,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.6717,-0.0279,0.0557
4,2024-03,NCEP-CFSv2,NCEP,CFSv2,-0.6925,-0.1091,-0.0287
5,2024-03,JMA-CPS3,JMA,CPS3,-0.6466,-0.0969,0.3217
6,2024-03,ECCC-GEM5-NEMO,ECCC,GEM5-NEMO,-0.6882,-0.1588,-0.0739
7,2024-03,Met Office-GloSea6.3,Met Office,GloSea6.3,-0.6607,-0.0336,0.2452
