,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-05,ECMWF-SEAS5.1,ECMWF,SEAS5.1,0.3399,0.0064,-0.0217
1,2024-05,Météo France-System 8,Météo France,System 8,0.3197,-0.0542,-0.0809
2,2024-05,Met Office-GloSea6.3,Met Office,GloSea6.3,0.3476,-0.0439,-0.1913
3,2024-05,DWD-GCFS2.1,DWD,GCFS2.1,0.0095,-0.0717,-0.007
4,2024-05,CMCC-SPSv3.5,CMCC,SPSv3.5,0.3635,0.0752,0.1757
5,2024-05,NCEP-CFSv2,NCEP,CFSv2,0.0043,0.0811,0.1713
6,2024-05,JMA-CPS3,JMA,CPS3,0.3587,-0.0687,-0.1243
7,2024-05,ECCC-GEM5-NEMO,ECCC,GEM5-NEMO,0.4203,-0.1681,-0.147
