,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-05,ECMWF-SEAS5.1,ECMWF,SEAS5.1,-0.5064,0.1447,0.467
1,2024-05,Météo France-System 8,Météo France,System 8,-0.4015,0.2305,0.6835
2,2024-05,Met Office-GloSea6.3,Met Office,GloSea6.3,-0.5386,0.1474,0.4583
3,2024-05,DWD-GCFS2.1,DWD,GCFS2.1,-0.4739,0.1298,0.4365
4,2024-05,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.5133,0.2643,0.6374
5,2024-05,NCEP-CFSv2,NCEP,CFSv2,-0.4584,0.3411,0.6461
6,2024-05,JMA-CPS3,JMA,CPS3,-0.41,0.0588,0.4661
7,2024-05,ECCC-GEM5-NEMO,ECCC,GEM5-NEMO,-0.499,0.1487,0.3626
