,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-05,ECMWF-SEAS5.1,ECMWF,SEAS5.1,-0.5016,0.091,0.2339
1,2024-05,Météo France-System 8,Météo France,System 8,-0.4328,0.0034,-0.1061
2,2024-05,Met Office-GloSea6.3,Met Office,GloSea6.3,-0.4786,0.0687,0.2278
3,2024-05,DWD-GCFS2.1,DWD,GCFS2.1,-0.4936,-0.0777,-0.2748
4,2024-05,CMCC-SPSv3.5,CMCC,SPSv3.5,-0.5033,-0.0823,-0.2139
5,2024-05,NCEP-CFSv2,NCEP,CFSv2,-0.4528,-0.1234,-0.1913
6,2024-05,JMA-CPS3,JMA,CPS3,-0.4613,-0.245,-0.033
7,2024-05,ECCC-GEM5-NEMO,ECCC,GEM5-NEMO,-0.4718,0.175,0.4296
