,Initialization,Model,institution,name,PC_value,RPSS,Correlation
0,2024-05,ECMWF-SEAS5.1,ECMWF,SEAS5.1,0.2942,-0.0842,-0.0548
1,2024-05,Météo France-System 8,Météo France,System 8,0.2597,-0.0725,0.0287
2,2024-05,Met Office-GloSea6.3,Met Office,GloSea6.3,0.3083,0.0276,0.1061
3,2024-05,DWD-GCFS2.1,DWD,GCFS2.1,0.0016,-0.0531,0.0348
4,2024-05,CMCC-SPSv3.5,CMCC,SPSv3.5,0.3109,0.0196,0.1148
5,2024-05,NCEP-CFSv2,NCEP,CFSv2,-0.2821,-0.111,-0.0983
6,2024-05,JMA-CPS3,JMA,CPS3,0.2885,-0.0312,0.3513
7,2024-05,ECCC-GEM5-NEMO,ECCC,GEM5-NEMO,-0.0048,-0.005,-0.1591
